"53","Adjustable","adjustable","","true"
"44","Beginner Friendly","beginner-friendly","","true"
"49","Best Seller","best-seller","","true"
"18","Bluetooth","bluetooth","","true"
"36","Compact","compact","","true"
"5","Cozy","cozy","","true"
"15","Daily Routine","daily-routine","","true"
"30","Desk Setup","desk-setup","","true"
"6","Durable","durable","","true"
"7","Easy Clean","easy-clean","","true"
"31","Ergonomic","ergonomic","","true"
"1","Everyday","everyday","","true"
"23","Family Size","family-size","","true"
"39","Fragrance Free","fragrance-free","","true"
"40","Gentle","gentle","","true"
"2","Giftable","giftable","","true"
"13","Hardcover","hardcover","","true"
"21","Home Refresh","home-refresh","","true"
"16","Hydrating","hydrating","","true"
"14","Illustrated","illustrated","","true"
"26","Interactive","interactive","","true"
"22","Kitchen","kitchen","","true"
"3","Layering","layering","","true"
"9","Lightweight","lightweight","","true"
"38","Neutral Finish","neutral-finish","","true"
"43","Noise Canceling","noise-canceling","","true"
"51","Organic","organic","","true"
"32","Organization","organization","","true"
"8","Orthopedic","orthopedic","","true"
"55","Outdoor","outdoor","","true"
"52","Packable","packable","","true"
"35","Pantry Staple","pantry-staple","","true"
"28","Paperback","paperback","","true"
"27","Pet Safe","pet-safe","","true"
"47","Planner","planner","","true"
"33","Portable","portable","","true"
"4","Premium","premium","","true"
"37","Professional","professional","","true"
"54","Protein","protein","","true"
"24","Quick Meal","quick-meal","","true"
"48","Recovery","recovery","","true"
"29","Reference","reference","","true"
"46","Single Origin","single-origin","","true"
"19","Smart","smart","","true"
"25","Snackable","snackable","","true"
"11","Soft Touch","soft-touch","","true"
"12","Space Saving","space-saving","","true"
"34","Stretch","stretch","","true"
"41","Training","training","","true"
"50","Travel Friendly","travel-friendly","","true"
"10","Travel Ready","travel-ready","","true"
"17","Travel Size","travel-size","","true"
"45","Usb C","usb-c","","true"
"42","Weather Ready","weather-ready","","true"
"20","Wireless","wireless","","true"
